"Id","home","away","homeGoal","awayGoal","under10","over10under20","over20under25","over30"
1,"Sri Lanka","Bhutan",1,2,0,0,1,0
2,"Timor-Leste","Mongolia",1,4,0,0,1,0
3,"Cambodia","Macau",4,1,0,0,1,0
4,"Yemen","Pakistan",4,2,0,0,0,1
5,"India","Nepal",3,1,0,0,0,1
6,"Chinese Taipei","Brunei Darussalam",1,2,0,0,1,0
7,"Nepal","India",1,1,0,0,1,0
8,"Mongolia","Timor-Leste",4,1,0,0,1,0
9,"Bhutan","Sri Lanka",3,2,0,1,0,0
10,"Macau","Cambodia",2,2,0,0,1,0
11,"Brunei Darussalam","Chinese Taipei",1,3,0,0,0,1
12,"Barbados","US Virgin Islands",1,2,0,0,1,0
13,"Nicaragua","Anguilla",5,1,0,0,0,1
14,"Pakistan","Yemen",1,1,0,0,1,0
15,"St. Kitts and Nevis","Turks and Caicos Islands",6,3,0,0,1,0
16,"Bahamas","Bermuda",1,6,0,0,1,0
17,"Belize","Cayman Islands",1,1,0,0,1,0
18,"US Virgin Islands","Barbados",1,5,0,0,1,0
19,"British Virgin Islands","Dominica",3,4,0,0,1,0
20,"Turks and Caicos Islands","St. Kitts and Nevis",3,7,0,1,0,0
21,"Curacao","Montserrat",3,2,0,0,1,0
22,"Bermuda","Bahamas",4,1,0,0,1,0
23,"Dominica","British Virgin Islands",1,1,0,0,1,0
24,"Anguilla","Nicaragua",1,4,0,1,0,0
25,"Cayman Islands","Belize",2,2,0,0,0,1
26,"Montserrat","Curacao",3,3,0,0,1,0
